CFdesign Trace data for Scenario 1 
Trace,Res. Time (sec),
1 Set
Trace 15,3.8261e-04,
Trace 14,4.0132e-04,
Trace 13,4.5463e-04,
Trace 12,6.2476e-04,
Trace 11,3.7969e-04,
Trace 10,3.9891e-04,
Trace 9,4.5399e-04,
Trace 8,6.4411e-04,
Trace 7,3.8388e-04,
Trace 6,3.9614e-04,
Trace 5,4.5244e-04,
Trace 4,6.5662e-04,
Trace 3,3.8028e-04,
Trace 2,3.9825e-04,
Trace 1,4.5617e-04,
Trace 0,6.3486e-04,
