https://maps.co/map/5eabe76bb49c748591866236e216

undefined	68.87994	-166.22076
null	70.67864	-154.02172
null	59.92553	-43.52311
null	22.95432	-109.9945
null	21.57083	-106.52785
null	23.06563	-82.28187
null	21.61716	-83.17108
null	12.08795	-85.77483
null	7.52072	-79.9301
null	10.47858	-71.55969
null	-43.59165	-74.63229
null	-52.33047	-68.33726
null	-54.78233	-63.8443
null	-63.57587	-55.93414
null	-60.72379	-44.47254
null	-41.28836	174.56916
null	-43.495	146.35627
null	-8.29063	138.09456
null	46.55115	143.39149
null	51.17231	156.66297
null	65.96638	-89.74471
null	70.11511	-22.095
null	67.83606	12.86124
null	70.93985	26.66007
null	69.66202	24.21796
null	64.95747	24.8332
null	39.84973	18.38167
null	36.69382	15.12972
null	-14.60797	35.29906
null	-34.28867	18.46832
null	70.63852	57.46469
null	8.57132	104.83774
null	33.34986	126.7225
null	82.77674	-50.52779
null	83.27789	-26.27864
null	77.38985	-71.19075
null	81.18885	90.77078
null	78.88812	102.8118
null	80.90721	79.85733
null	79.58394	76.86905
null	81.56315	62.10343
