thing_id, file_id, file, license, link
3149184,5456576,./5456576.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/cb/46/6a/d1/c6/internal_structure.stl
3149184,5456578,./5456578.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/4f/4e/c5/33/fe/bottom.stl
3149184,5456579,./5456579.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/cc/1b/16/62/65/head.stl
3149184,5457164,./5457164.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/8b/63/4c/49/f8/middle.stl
3121156,5396896,./5396896.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/5c/6a/0c/bc/c4/calibration.stl
1724901,2684897,./2684897.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/7f/41/2e/84/cd/lock_slider.stl
1724901,2684898,./2684898.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/dd/58/67/6b/f3/Rail_cover.stl
31929,92632,./92632.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/1a/35/d0/53/05/alignclips.stl
31929,92634,./92634.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/03/ff/57/2c/8d/bearingmain.stl
31929,92635,./92635.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/5e/31/0f/38/27/hands-both.stl
31929,92636,./92636.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/c3/d5/c7/89/2f/microservoarms.stl
31929,92638,./92638.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/df/a6/05/d9/6d/servoturn2_x4.stl
1460886,2265298,./2265298.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/a3/5f/60/32/71/psu_cover_complete.stl
1460886,2265299,./2265299.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/ed/02/55/f8/aa/psu_cover_nosupport_2.stl
1460886,2265300,./2265300.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/de/02/ee/f0/e6/psu_cover_nosupport_1.stl
2835080,4751350,./4751350.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/f1/59/f8/e8/7d/mount_big_gasket_2.stl
2835080,4751351,./4751351.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/e9/c3/32/29/df/mount_mini_gasket_3.stl
2835080,4751352,./4751352.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/14/5e/86/3b/a2/mount_body_1.stl
1693133,2630940,./2630940.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/09/d5/b6/0b/7f/Screw_holder_wide.stl
1693133,2630941,./2630941.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/91/48/07/27/2e/Screw_holder2.stl
1693133,2630942,./2630942.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/2c/ce/15/a3/d9/Screw_holder_loose.stl
1693133,3234679,./3234679.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/55/c6/97/f4/df/tool_hanger_slim_-_rulers_and_others.stl
1693133,3234688,./3234688.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/4c/c7/f9/64/de/Tool_hanger_long_2.stl
1693133,3234697,./3234697.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/89/94/f3/00/b1/Tool_long_hanger__long_beam_smooth_splits.stl
1382270,2147595,./2147595.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/54/f4/75/88/45/water_valve_lever.stl
1382270,2147596,./2147596.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/19/b6/00/46/eb/two_halfs.stl
780832,1249519,./1249519.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/74/8a/39/81/a1/main_center_joint.stl
780832,1249520,./1249520.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/bd/4f/a5/e5/65/microservo_paddle2.stl
780832,1249521,./1249521.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/92/2e/43/a6/15/arm_center_joint2.stl
780832,1249522,./1249522.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/f6/2f/88/42/11/pcb-holder-improved_front_complete_assembly.stl
780832,1249523,./1249523.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/bd/60/1d/9d/47/head.stl
780832,1249524,./1249524.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/f3/1c/4f/61/3d/microservo_joint_mirrored.stl
780832,1249525,./1249525.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/98/28/bc/e4/f1/servo_horn_adapter.stl
3081270,5309759,./5309759.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/8c/39/f2/67/bf/slider.stl
3081270,5309760,./5309760.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/25/71/f2/43/e2/extension_b.stl
3081270,5309761,./5309761.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/6f/f2/09/fd/0e/extension_a.stl
3081270,5309762,./5309762.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/3f/b2/49/1c/4e/full_kit.stl
13781,45013,./45013.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/ce/6a/75/0c/a8/tripode_dock.stl
22689,69590,./69590.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/78/e6/71/7b/2b/Pata-mueble_1.stl
22689,69591,./69591.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/7a/73/c0/29/c0/Pata-mueble_4.stl
2652360,4338723,./4338723.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/4a/51/e9/50/ec/directional.stl
2652360,4338724,./4338724.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/9b/5f/dd/58/6a/ab.stl
2440603,3922599,./3922599.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/8f/1f/47/5f/9b/DOCK_FINAL_retainer.stl
2440603,3922600,./3922600.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/a2/9f/ff/c4/ad/DOCK_FINAL_bottom.stl
2440603,3922601,./3922601.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/7d/51/e5/aa/04/DOCK_FINAL_top.stl
2384028,3812329,./3812329.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/4a/fb/f2/3c/05/hanger2.stl
2384028,3817962,./3817962.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/9b/4e/74/dd/1f/hanger_improved_stronger.stl
144485,283173,./283173.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/25/b6/db/2f/60/cover.stl
144485,283174,./283174.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/0b/74/c2/fc/71/border.stl
2951502,5013806,./5013806.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/82/26/52/fc/6c/antenna_nologo.stl
22687,69584,./69584.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/ea/6f/c7/66/d9/soporte_base.stl
22687,69585,./69585.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/8c/7d/62/9d/a2/soporte-high-1.stl
22687,69587,./69587.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/01/76/3b/3d/94/soporte-high-2.stl
22687,69588,./69588.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/4f/26/7a/8d/4f/soporte-high-3.stl
3216658,5608739,./5608739.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/e2/81/56/00/f5/CFFFP_adaptor.stl
31731,92176,./92176.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/c9/27/22/d8/b6/HobbyPressPads.stl
22988,70403,./70403.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/17/68/cf/f4/e6/dremel-multivisepads_pcb.stl
32087,93019,./93019.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/50/b5/7b/a2/aa/CordExtensionHolder2.stl
2788264,4628134,./4628134.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/02/24/42/37/ff/screwdriver_bit.stl
25065,75443,./75443.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/85/04/70/d3/eb/pato.stl
3795335,6860584,./6860584.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/81/d6/ee/b2/4b/usbholder.stl
2440582,3922571,./3922571.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/11/bb/db/93/63/new_cover.stl
2440582,3922572,./3922572.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/a5/ec/d0/90/7d/CATCHAIN_main_1.stl
2440582,6447615,./6447615.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/83/5a/e2/ef/00/NEW_UNIFIED_-_latest_catcher_improved3.stl
1547113,2395944,./2395944.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/01/7d/d7/51/0d/diffusser2_button_use-supports.stl
1547113,2395945,./2395945.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/d8/ef/07/2f/14/diffusser2_base.stl
86602,194321,./194321.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/f2/96/f3/cd/70/SuperGlueHolder.stl
2455068,3951225,./3951225.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/d4/d9/8d/d9/0f/cap4_final.stl
1348992,2095406,./2095406.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/6c/66/75/39/b1/holders3.stl
1348992,2095407,./2095407.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/52/a0/6e/94/3f/spool_big2.stl
1524292,2360555,./2360555.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/87/05/46/f5/6a/gap_filler_y_axis.stl
1334533,2073360,./2073360.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/89/0f/0b/af/98/final_right_3_fixed_with_end_cap.stl
14174,46469,./46469.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/81/6c/6b/18/14/calibrationdigitalgauge_fixed.stl
210843,392005,./392005.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/76/4e/2f/c1/a9/support3.stl
20552,64536,./64536.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/54/c4/51/72/8d/up.stl
20552,64537,./64537.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/3e/ab/78/e9/d2/down.stl
12197,39414,./39414.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/ac/9b/a7/47/e0/manillabano_fixed.stl
3595244,6429490,./6429490.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/db/b3/bd/26/ed/clamp_1pcs.stl
3595244,6429491,./6429491.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/1c/8b/79/cf/f8/clamp-handle_1pcs.stl
3595244,6429492,./6429492.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/52/9e/cf/6a/57/3way_1pcs.stl
3595244,6429493,./6429493.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/30/8a/ff/fe/5c/3way_4pcs.stl
18792,60566,./60566.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/68/c7/5e/b5/b3/cable_holder.stl
3001194,5127083,./5127083.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/61/1d/ea/f8/0f/wimius_mount.stl
3187047,5540144,./5540144.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/f2/8a/ca/c1/d0/plug.stl
2579679,4198085,./4198085.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/13/10/de/5c/38/dpad_center2.stl
1735202,2702014,./2702014.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/58/00/5a/d7/a9/bumper_extension_SLIM_FINAL.stl
27849,82710,./82710.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/e0/7a/f1/fc/19/360_Headset_dock_new.stl
291616,522561,./522561.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/81/a4/e4/da/af/both.stl
237922,437738,./437738.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/fd/24/87/68/2f/holderPrime2.stl
172152,327846,./327846.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/d8/d3/d0/0d/d2/NP120_Battery_Case.stl
2403789,3850232,./3850232.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/6e/f3/35/c3/b9/full_part1_1.stl
2403789,3850233,./3850233.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/d0/37/88/4e/54/full_part2_2.stl
1865606,2913662,./2913662.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/b4/ee/6f/3b/5d/recesed_light_spring3.stl
2853120,4829288,./4829288.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/aa/d2/51/83/78/case113_frt.stl
2853120,4829287,./4829287.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/6a/17/39/2f/00/case113_btn.stl
2853120,4829286,./4829286.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/0c/99/10/b5/68/case113_bk2mm.stl
